firm_size,industry_tech,digital_invest,process_eff,roe_improvement
243.89,1,4.91,1.11,2.63
129.25,0,2.42,0.24,1.94
283.64,0,4.7,3.55,2.29
680.64,1,4.05,1.37,2.83
117.43,1,5.85,1.88,3.86
117.43,0,1.33,1.2,0.24
719.97,0,2.78,2.57,2.63
319.72,0,4.88,3.16,1.99
92.81,0,2.48,2.23,0.9
255.33,0,2.35,0.42,0.91
93.37,0,0.0,-1.42,-2.01
93.16,0,3.59,3.29,0.33
189.04,0,3.48,1.42,-0.34
21.91,1,9.35,4.42,4.41
26.45,0,1.41,2.03,2.55
84.58,0,2.52,1.82,3.09
53.9,0,2.55,1.73,1.46
203.21,1,8.36,6.34,5.43
59.86,0,1.87,0.29,-1.52
36.15,0,2.59,2.22,0.44
642.68,1,6.86,3.49,3.27
118.42,1,5.49,3.01,2.9
158.78,1,4.27,3.66,3.5
35.7,0,2.42,1.72,0.32
86.11,0,4.23,2.65,-0.69
165.82,1,3.11,2.63,3.97
46.95,1,5.31,2.29,2.15
216.09,0,0.82,-0.43,0.27
81.4,0,4.47,1.19,2.88
110.86,0,0.0,-1.97,-1.53
81.31,1,3.96,4.04,1.2
946.03,0,3.7,0.75,0.74
146.42,0,5.28,2.42,2.42
51.54,0,1.92,0.68,2.37
337.83,0,1.23,0.92,-0.65
43.78,0,5.81,3.72,2.25
182.89,0,0.0,0.86,-0.08
20.91,1,0.62,-0.27,1.86
39.32,0,2.92,1.29,3.34
180.7,0,1.18,0.87,-1.02
310.59,0,0.27,-0.11,0.39
176.16,0,3.59,3.4,2.0
132.2,0,2.62,1.8,1.97
109.83,0,0.98,1.23,0.65
33.83,0,0.0,0.66,0.55
72.25,0,3.82,3.08,1.0
93.63,0,3.39,1.88,1.23
427.14,1,5.23,1.32,2.74
209.27,0,5.9,3.35,2.34
25.46,1,2.89,0.79,2.14
205.22,0,0.0,-0.53,0.3
100.98,1,3.72,2.44,3.15
75.42,1,4.98,3.73,4.83
273.6,0,2.76,1.4,0.78
