draw,tau
1,-3.3915926022840823
2,-1.6040242377237517
3,-2.9030112326830286
4,-1.514015956985891
5,-1.6344620214759988
6,-1.9577460625014576
7,-3.1509344141474456
8,-1.9574880709138922
9,-3.391590878026478
10,-1.7121328577043
11,-1.1316844565316382
12,-1.6341773839127045
13,-1.7029691702244714
14,-2.537045011457878
15,-1.5139615692162494
16,-1.5656397185362936
17,-2.5380082589447612
18,-2.543168561618246
19,-1.6344741789827086
20,-2.4350065840663584
21,-2.5375842435025797
22,-2.903244243558281
23,-1.3750827928342124
24,-1.57110705859046
25,-2.114422854875486
26,-1.9059980224296451
27,-2.356096092719265
28,-1.5713309539008433
29,-1.5138911774041572
30,-1.728233334776358
31,-1.5655466792987252
32,-1.6284250709688193
33,-2.269112386828893
34,-2.753675354992109
35,-2.538906670616739
36,-1.9062076390327585
37,-1.7373454860708968
38,-1.6351942443879297
39,-1.9059255932090826
40,-1.7374578897204378
41,-3.5662872585091927
42,-2.3206702424157877
43,-2.2821070220140003
44,-3.3178230092872054
45,-1.965013633506934
46,-2.216060977078606
47,-3.1509969177765074
48,-2.3205532551149988
49,-1.5292317225644023
50,-2.0996656765058903
51,-2.2829320209765003
52,-2.5395626029329685
53,-1.93924615754326
54,-2.4801409816439532
55,-2.4718925321938174
56,-1.9060229954335215
57,-1.6638181727793109
58,-3.085917543673358
59,-3.5752460112430855
60,-1.9061568115598293
61,-2.2687333147839555
62,-1.513888946022906
63,-2.902840722182318
64,-2.537626530074191
65,-2.355881618787058
66,-3.566210084311252
67,-2.7402374953724946
68,-1.9060540330376137
69,-1.5653784936405595
70,-1.5850552513905773
71,-2.845084907259234
72,-1.7365114726862965
73,-1.9683491423441657
74,-3.5752788115463643
75,-2.436948918150125
76,-2.105704620271916
77,-1.6041005450766308
78,-1.6039895000031335
79,-1.9062469147493486
80,-1.5139036068808256
81,-1.9059117786459963
82,-1.9058038787926366
83,-1.9062152917408293
84,-1.6345674832043802
85,-2.1928289801197733
86,-3.081003113513563
87,-2.2831649991242964
88,-2.577287550900606
89,-2.90269516833309
90,-1.5651471764599618
91,-1.675571777310446
92,-1.9576980272786608
93,-2.486360026328348
94,-2.5790831915465207
95,-2.1927951481107852
96,-1.5138861040775016
97,-2.1927512120855885
98,-1.6637586256534167
99,-1.628427229753047
100,-2.9033464098932553
101,-2.37366423138866
102,-2.4805427678190517
103,-1.9060622406346246
104,-1.729251954685168
105,-1.729368492749665
106,-2.8667001005625137
107,-1.5507528697298314
108,-2.6494869794604012
109,-2.5400782545544915
110,-1.727182133101242
111,-3.3706207097221546
112,-2.1182992446390854
113,-1.5508028705310908
114,-1.6040779714078042
115,-1.9132855719759787
116,-2.8666188635658036
117,-1.6344062555397434
118,-1.6344792952420901
119,-2.136127870748731
120,-2.5372726655633526
121,-1.4033376269809201
122,-2.027759337552374
123,-1.9059502019938543
124,-1.5138731702191661
125,-2.1055968755759364
126,-1.9061415322821942
127,-2.2687938015356197
128,-1.9576420159872425
129,-1.9058614279246067
130,-2.577390131646051
131,-1.6346542389337584
132,-2.28335964054381
133,-1.6039444147231192
134,-1.712856795089806
135,-2.282725820315826
136,-1.359806933692929
137,-2.2031294291630976
138,-1.603810864363444
139,-3.1013117948183373
140,-3.5662106128071303
141,-2.3556105154906968
142,-1.612022100121557
143,-2.1668395975096617
144,-2.7984104435168993
145,-1.905808238966812
146,-1.634487345428858
147,-1.6042143574362644
148,-2.753635003790822
149,-2.5370338274915545
150,-1.6652846664673655
151,-1.634577894233609
152,-2.5437523205494204
153,-3.566360087508186
154,-2.097510417696177
155,-1.4411028173627756
156,-1.6038893192717287
157,-3.025297496293672
158,-1.5854447327774421
159,-1.5852889054460428
160,-2.320179056195367
161,-2.001009536564493
162,-1.6040446781474245
163,-1.957585915367674
164,-1.6038297516642404
165,-1.6041962394840743
166,-3.0858109572747514
167,-1.5292054961731383
168,-1.6346455267621254
169,-2.2821820653793994
170,-1.9575749403832292
171,-2.565290976433384
172,-2.245815702405788
173,-1.6039038286750413
174,-1.604075469556471
175,-1.634562846712213
176,-1.9491419165628434
177,-1.957766502955356
178,-1.3159453888452903
179,-2.4317709654268613
180,-1.9577416623789974
181,-1.565215406672892
182,-1.7126845255462086
183,-1.6343486997315164
184,-2.6482506178051475
185,-2.373427984981297
186,-2.436143330196214
187,-1.6041213526091944
188,-2.5655622963237503
189,-1.6345853322989736
190,-1.7118733025054924
191,-1.5851604056281436
192,-1.1477358019565198
193,-2.539802343214702
194,-1.366266774484024
195,-2.011057006836789
196,-1.9341182493450804
197,-2.3206079696991653
198,-1.565954085394555
199,-1.6042162371178783
200,-1.7083900209648801
201,-2.16917640995712
202,-1.4407942183125222
203,-1.60397048454813
204,-2.8670221487369973
205,-1.7358982702427355
206,-1.5661686502533856
207,-2.290750849114798
208,-2.497332270890877
209,-1.9050556974182582
210,-2.537617656418619
211,-1.3418553648963103
212,-2.436021538369336
213,-1.9059060313558573
214,-2.537877327530537
215,-2.537532662375921
216,-1.529114522339336
217,-2.7756811904740433
218,-2.902948653434792
219,-1.6039422820559377
220,-1.5141839052012989
221,-1.3881758410175316
222,-1.6348463997398976
223,-2.0272747814199414
224,-2.0425098814905835
225,-1.6344961077859503
226,-2.6608749055520304
227,-2.1158018438023047
228,-3.5752047796448396
229,-1.6038389568281142
230,-1.6040054683208007
231,-2.4358410349207213
232,-2.3557891256355967
233,-1.6345196883257955
234,-2.3735887858782876
235,-1.7686907224284942
236,-2.866582983911658
237,-2.355896561322541
238,-1.5848600509629591
239,-2.607241500055685
240,-1.5139728546144555
241,-1.5139978024719163
242,-1.7360469195848642
243,-2.2907215532206306
244,-2.5169567936861847
245,-2.3734319537200195
