연도,대학명,지역,입학정원,모집인원,지원자수,입학자수,재학생수,전임교원수,경쟁률,treated,post,treat_post,unit_id,relative_year
2016,강남대학교,경기,1535,1544,10367,1531,6918,239,6.7,0,0,0,0,-7
2017,강남대학교,경기,1513,1525,10366,1510,6719,241,6.8,0,0,0,0,-6
2018,강남대학교,경기,1491,1501,10318,1491,6759,235,6.9,0,0,0,0,-5
2019,강남대학교,경기,1491,1506,13050,1492,6760,238,8.7,0,0,0,0,-4
2020,강남대학교,경기,1491,1500,11082,1500,6695,238,7.4,0,0,0,0,-3
2021,강남대학교,경기,1491,1502,8596,1501,6597,237,5.7,0,0,0,0,-2
2022,강남대학교,경기,1491,1491,10997,1490,6325,238,7.4,0,0,0,0,-1
2023,강남대학교,경기,1491,1492,11752,1492,6503,232,7.9,0,1,0,0,0
2024,강남대학교,경기,1491,1492,10093,1491,6248,219,6.8,0,1,0,0,1
2025,강남대학교,경기,1491,1491,12570,1491,6522,206,8.4,0,1,0,0,2
2016,경기대학교,경기,2642,2658,32115,2646,12099,460,12.1,0,0,0,1,-7
2017,경기대학교,경기,2598,2606,28097,2604,11899,472,10.8,0,0,0,1,-6
2018,경기대학교,경기,2598,2608,26878,2602,11736,518,10.3,0,0,0,1,-5
2019,경기대학교,경기,2598,2600,24847,2597,11854,481,9.6,0,0,0,1,-4
2020,경기대학교,경기,2598,2604,25466,2602,11732,505,9.8,0,0,0,1,-3
2021,경기대학교,경기,2598,2601,20216,2598,11946,541,7.8,0,0,0,1,-2
2022,경기대학교,경기,2598,2600,26600,2598,11233,510,10.2,0,0,0,1,-1
2023,경기대학교,경기,2598,2601,24136,2590,12050,486,9.3,0,1,0,1,0
2024,경기대학교,경기,2628,2630,30575,2614,11896,466,11.6,0,1,0,1,1
2025,경기대학교,경기,2618,2620,34409,2604,11891,454,13.1,0,1,0,1,2
2016,남서울대학교,충남,2250,2250,15399,2250,8368,338,6.8,0,0,0,2,-7
2017,남서울대학교,충남,2201,2201,13194,2201,9086,349,6.0,0,0,0,2,-6
2018,남서울대학교,충남,2201,2201,18407,2201,9629,357,8.4,0,0,0,2,-5
2019,남서울대학교,충남,2201,2201,16814,2198,9597,353,7.6,0,0,0,2,-4
2020,남서울대학교,충남,2164,2164,16708,2164,9502,332,7.7,0,0,0,2,-3
