대학명,SDID_가중치,SCM_가중치
서원대학교,0.44901566829048956,0.44909652680527706
평택대학교,0.340254857606601,0.3404615423726715
수원대학교,0.10403682294860729,0.10402507450540822
경기대학교,0.06274867403533296,0.06266166922109014
한서대학교,0.04394397711897035,0.04375518709542243
강남대학교,6.007535544333952e-15,2.3344546538420123e-14
한세대학교,5.690896550107815e-15,2.5266260534869014e-13
배재대학교,5.372955038655199e-15,4.004769765539642e-14
목원대학교,4.256054128621742e-15,4.85686698542654e-14
남서울대학교,2.591356697273013e-15,1.0900614566778743e-13
용인대학교,1.1746391325570546e-15,1.03888343235429e-15
대전대학교,9.266716048428662e-16,0.0
성결대학교,5.652434188305235e-17,8.36572101335947e-14
세명대학교,0.0,6.384498495985333e-14
대진대학교,0.0,1.887494982106803e-14
상지대학교,0.0,2.356910652900179e-14
중부대학교,0.0,0.0
안양대학교,0.0,0.0
한림대학교,0.0,0.0
협성대학교,0.0,0.0
